년월,지역코드,출/입,10대남성 유입인구,20대남성 유입인구,30대남성 유입인구,40대남성 유입인구,50대남성 유입인구,60대남성 유입인구,70대남성 유입인구,10대여성 유입인구,20대여성 유입인구,30대여성 유입인구,40대여성 유입인구,50대여성 유입인구,60대여성 유입인구,70대여성 유입인구
202007,45190,입,0.55,0.22,1.81,3.04,6.41,4.97,0.55,0.0,1.96,1.6,1.55,1.86,0.74,0.4
202007,47840,입,0.0,0.67,1.82,2.46,5.23,2.34,0.14,0.0,0.1,0.0,2.6,1.54,0.38,0.6
202007,47850,입,2.18,7.07,9.7,10.58,9.86,1.75,0.26,1.19,3.79,1.14,1.83,2.53,0.34,0.32
202007,47900,입,0.0,2.35,0.48,1.68,3.85,0.4,0.0,0.0,0.54,0.73,0.87,0.43,0.0,0.57
202007,47920,입,0.83,0.0,0.37,0.89,2.86,0.7,1.47,0.0,0.15,0.06,0.19,1.0,0.76,2.17
202008,11740,입,13.27,21.34,55.03,70.24,103.56,43.87,7.98,9.57,18.34,32.5,22.88,29.68,20.45,7.79
202008,26110,입,3.7,0.33,0.83,1.34,1.04,0.14,0.0,0.0,0.08,0.62,0.0,0.55,0.45,0.0
202008,26140,입,0.0,0.0,2.64,1.59,3.77,2.32,0.0,0.22,0.61,0.0,1.27,0.12,0.13,0.17
202007,42210,입,0.0,1.44,1.81,3.57,2.36,2.01,0.39,0.08,1.01,0.42,2.02,1.37,0.7,0.47
202007,42230,입,1.03,4.36,0.67,3.66,4.25,0.89,0.22,0.73,2.31,0.89,0.63,0.88,0.15,0.21
202007,42720,입,1.92,2.14,3.9,3.07,6.61,1.94,0.77,1.3,0.8,2.66,0.79,4.68,0.81,1.34
202007,45210,입,9.14,5.16,4.67,5.05,4.21,2.94,0.67,0.36,0.75,1.46,1.24,2.34,0.84,0.41
202007,45710,입,4.98,4.56,4.3,6.64,9.54,5.61,0.27,0.08,5.83,1.34,3.83,1.71,1.76,0.9
202007,45720,입,0.04,0.0,0.36,0.13,0.65,0.52,0.14,0.0,0.0,0.39,0.55,0.44,0.15,0.26
202007,45730,입,0.0,0.14,0.45,1.53,0.92,0.93,0.0,0.0,0.2,0.25,0.06,1.72,0.51,0.18
202007,47930,입,0.1,1.03,0.51,2.25,1.54,0.61,0.08,0.0,0.27,0.72,0.0,0.54,1.18,0.0
202007,47940,입,0.0,0.0,0.0,1.13,0.13,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202007,48120,입,2.9,13.98,15.6,31.6,32.6,12.62,2.04,4.43,6.89,3.65,5.18,6.03,1.17,1.2
202008,26350,입,0.5,2.2,3.12,10.59,12.62,7.15,1.02,1.87,4.16,1.58,4.1,3.91,0.99,0.89
202008,26380,입,1.97,1.12,4.45,13.24,10.3,3.87,1.46,1.97,2.81,2.33,2.57,2.49,0.83,1.34
202008,26410,입,0.12,1.97,7.43,6.04,7.02,4.4,0.33,1.21,2.38,0.91,1.27,1.38,1.25,1.54
202007,42730,입,4.94,0.99,2.63,5.43,6.81,4.0,1.42,2.85,1.16,0.83,0.75,2.47,1.3,1.28
202007,42750,입,1.64,5.43,3.24,1.38,6.39,2.43,0.11,0.1,2.22,0.6,0.73,2.97,0.57,0.29
202007,42760,입,0.0,1.27,1.82,2.36,7.79,4.58,1.03,0.7,0.53,1.96,0.54,2.41,1.19,1.3
202007,45740,입,0.0,0.68,0.11,1.13,0.23,0.31,0.0,0.0,0.44,0.0,0.24,0.19,0.2,0.31
